Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”,Name: “Table 1 of 1 on page 33 of 68”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,,,
Table,Table,13--Area,of,"timberland,",by,stand-age,stand-age,and,broad,management,"classes,",
all,"ownerships,","ownerships,",Northern,Piedmont,Piedmont,of,"Virginia,","Virginia,",1992,,,
,,,,,,,,,Broad,management,class,
,Stand-age,Stand-age,class,All,,,,,,,,
,,(years),,classes,,Pine,Pine,Natural,Natural,,Upland,Lowland
,,,,,,plantation,plantation,pine,,Oakepine,hardwood,hardwood
,,,,,,,,,Acres,,,
,,O-10,,"175,929",,"51,385","51,385","11,076","11,076","40,239","69 ,781","3,448"
,,11-20,,"183,285",,"41,262","41,262","42,39 5","42,39 5","26,136","65,516","7,9 76"
,,21-30,,"217,737",,"56,050","56,050","69 ,435","69 ,435","18,539","73,713",- -
,,3 l-40,,"185,127",,"19 ,824","19 ,824","44,250","44,250","19 ,444","9 8,49 7","3,112"
,,41-50,,"201,048",,,- -,"45,488","45,488","33,788","109 ,444","12,328"
,,51-60,,"328,39 7",,,- -,"40,819","40,819","61,9 54","217,9 86","7,638"
,,61-70,,"334,565",,,-,"20,445","20,445","34,69 4","267,59 2","11,834"
,,71-80,,"239 ,742",,,- -,,"3,786","6,681","224,89 4","4,381"
,,81+,,"29 7,032",,,- -,,"3,59 9","14,9 08","266,480","12,045"
No m anage ab le,No m anage ab le,No m anage ab le,stand,"263,689",,,- -,,- -,"32,777","209 ,448","21,464"
All,All,classes,,"2,426,551",,"168,521","168,521","281,293","281,293","289,160","1,603,351","84,226"
Table,Table,14--Area,of,"timberland,",by,stand-age,stand-age,and,broad,management,"classes,",
public,public,"ownerships,","ownerships,",Northern,Piedmont,Piedmont,of,"Virginia,",1992,,,
,,,,,,,,,Broad,management,class,
,Stand-age,Stand-age,class,All,,,,,,,,
,,(years),,classes,,Pine,Pine,Natural,Natural,,Upland,Lowland
,,,,,,plantation,plantation,pine,,Oakmpine,hardwood,hardwood
,,,,,,,,,Acres,,,
,,O-10,,"4,29 1",,__,__,,__,_-,"4,29 1",--
,,11-20,,"10,366",,-a,-a,,--,"3,599","6,767",--
,,21-30,,"4,204",,__,__,,__,--,"4,204",--
,,31-40,,"17,388",,__,__,,"13,9 46","1,227","2,215",--
,,41-50,,"10,723",,- -,- -,,"3,9 33",- -,"5,815",9 75
,,51-60,,"22,821",,- -,- -,,- -,"3,759","19 ,062",--
,,61-70,,"25,020",,- -,- -,,"6,514","3,59 9","14,9 07",--
,,71-80,,"21,9 75",,- -,- -,,--,_-,"21,9 75",--
,,81+,,"40,807",,- -,- -,,"3,59 9",- -,"29 ,370","7,838"
No,manageable,manageable,stand,"9 ,514",,- -,- -,,- -,- -,"8,360","1,154"
,All,classes,,"167,109",,,--,"27,9 9 2","27,9 9 2","12,184","116,9 66","9 ,9 67"
,,,,,,,,,,,,25
