Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”,Name: “Table 1 of 1 on page 36 of 74”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,7.--Volrw,of,g r m i n g,s t o c k,and,asrtimber,asrtimber,on,"timberland,","timberland,",by,county,and,species,species,species,species,"group,","Virginia,",1986--Continued,1986--Continued,,,,,
,,,,,,Crowing,Crowing,stock,,,,,,,,,,,Sawtimber,Sawtimber,,,,,,
,County,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1 1,,,,Other,,Soft,Soft,,Hard,,,All,All,,,Other,Other,Soft,,Hard,Hard,Hard,
,,species,species,,,,softwood,,hardvood,hardvood,hardwood,hardwood,,species,species,species,species,,softwood,softwood,hardwood,,hardwood,hardwood,hardwood,hardwood
,,- - - - - - - -,- - - - - - - -,- - - - - - - -,Thousand,Thousand,cubic,feete,feete,- - - -,,,,-,-,-,-,- - -,.Thousand,board,feet,- - - - -,-,-,-,-
Lancaerer,Lancaerer,,,,50.102,,,-.,,21.284,,,,,,,,,,,,,,,,
Lee,,,,,,,,,,,,,,,,,,,,,,,,,,
Loudoun,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunenburg,Lunenburg,,,,,,,,,,,,,,,,,,,,,,,,,
Madiooo,,,,,,,,,,,,,,,,,,,,,,,,,,
Marhews,,,,,,,,,,,,,,,,,,,,,,,,,,
Hecklenburg,Hecklenburg,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,
Montgoliery,Montgoliery,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,
N e w,Kent,,,,,,,,,,,,,,,,,,,,,,,,,
N e w p o r t,News,,,,,,,,,,,,,,,,,,,,,,,,,
Northampton,Northampton,,,,,,,,,,,,,,,,,,,,,,,,,
North~mberlend,North~mberlend,,,,,,,,,,,,,,,,,,,,,,,,,
"t1Otto""Py",,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,,,
Page,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirrsylvania,Pirrsylvania,,,,,,,,,,,,,,,,,,,,,,,,,
Powhatan,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince,Edward,,,,,,,,,,,,,,,,,,,,,,,,,
Prince,George,,,,,,,,,,,,,,,,,,,,,,,,,
Prince,William,,,,,,,,,,,,,,,,,,,,,,,,,
Pulaski,,,,,,,,,,,,,,,,,,,,,,,,,,
Rappahannock,Rappahannock,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,
Roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockbridge,Rockbridge,,,,,,,,,,,,,,,,,,,,,,,,,
Rockingham,Rockingham,,,,,,,,,,,,,,,,,,,,,,,,,
Kursell,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenandoah,Shenandoah,,,,,,,,,,,,,,,,,,,,,,,,,
Smyth,,,,,,,,,,,,,,,,,,,,,,,,,,
Southamptan,Southamptan,,,,,,,,,,,,,,,,,,,,,,,,,
Spoisylvanis,Spoisylvanis,,,,,,,,,,,,,,,,,,,,,,,,,
Stafford,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffolk,,,,,,,,,,,,,,,,,,,,,,,,,,
Surry,,,,,,,,,,,,,,,,,,,,,,,,,,
Susser,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarewell,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Beach,,,,,,,,,,,,,,,,,,,,,,,,,
warren,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,Washington,,,,,,,,,,,,,,,,,,,,,,,,,
Westmoreland,Westmoreland,,,,,,,,,,,,,,,,,,,,,,,,,
Wise,,,,,,,,,,,,,,,,,,,,,,,,,,
Wythe,,,,,,,,,,,,,,,,,,,,,,,,,,
York,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"22,912,820","22,912,820","5,082,936","5,082,936",',"81&,765",,"5,959,561","5,959,561","11,095,558","11,095,558",,"61,036,398","61,036,398","61,036,398","61,036,398","14,248,929 3,236,854","14,248,929 3,236,854","14,248,929 3,236,854","17,615,683","31,934,932","31,934,932","31,934,932","31,934,932","31,934,932"
