Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”,Name: “Table 1 of 1 on page 44 of 74”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,,,,,,,,,,,,,,,,,,
Table,Table,]?.--Area,of,"timberland,","timberland,","timberland,","timberland,","timberland,",by,stand-age,stand-age,stand-age,stand-age,stand-age,and,and,broad,management,management,"classes,",all
"ownerships,","ownerships,","ownerships,","Virginia,",1986,1986,1986,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Broad,management,management,class,
,Stand-age,Stand-age,class,,A1 1,A1 1,A1 1,,,,,,,,,,,,,,
,,(years),,classes,classes,classes,classes,,,,Pine,Pine,Pine,,,Natural,Natural,,,Upland,Lowland
,,,,,,,,,,,,,,,,,,Oak-pine,,,
,,,,,,,,,plantation,plantation,plantation,plantation,plantation,plantation,,pine,pine,,,hardwood,hardwood
,,00-10,,"1,567,659","1,567,659","1,567,659","1,567,659","1,567,659",,,,,,,,,,,,,
,,11-20,,"1,491,892","1,491,892","1,491,892","1,491,892","1,491,892",,,,,,,,,,,,,
,,21-30,,"1,070,408","1,070,408","1,070,408","1,070,408","1,070,408",,,,,,,,,,,,,
,,31-40,,"1,281,086","1,281,086","1,281,086","1,281,086","1,281,086",,,,,,,,,,,,,
,,41-50,,"1,730,520","1,730,520","1,730,520","1,730,520","1,730,520",,,,,,,,,,,,,
,,51-60,,"2,029,154","2,029,154","2,029,154","2,029,154","2,029,154",,,,,,,,,,,,,
,,61-70,,"1,653,187","1,653,187","1,653,187","1,653,187","1,653,187",,,,,,,,,,,,,
,,71-80,,"1,077,748","1,077,748","1,077,748","1,077,748","1,077,748",,,,,,,,,,,,,
,,81+,,"1,320,763","1,320,763","1,320,763","1,320,763","1,320,763",,,,,,,,,,,,,
No,manageable,manageable,stand,"2,213,419","2,213,419","2,213,419","2,213,419","2,213,419",,,,,,,,,,,,,
,All,classes,,,,,,,,,,,,,,,,,,,
Table,Table,14.--Area,of,"timberland,","timberland,","timberland,","timberland,","timberland,",by,,stand-age,stand-age,stand-age,stand-age,and,and,broad,management,management,"classes,",public
"ownerships,","ownerships,","ownerships,","Virginia,","Virginia,",1986,1986,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Broad,management,management,class,
,Stand-age,Stand-age,class,,A1 l,A1 l,A1 l,,,,,,,,,,,,,,
,,(years),,,classes,classes,classes,,,,Pine,Pine,Pine,,,Natural,Natural,,,Upland,Lowland
,,,,,,,,,,,,,,,,,,Oak-pine,,,
,,,,,,,,,,plantation,plantation,plantation,plantation,plantation,,,pine,,,hardwood,hardwood
,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,,,,,,,- Acr-es - -,-,-,,
,,00-10,,,,"82,202","82,202","82,202",,,"18,535","18,535","18,535",,,,"3,376","7,475","7,475",,
,,11-20,,,"133,180","133,180","133,180","133,180",,,"1,372","1,372","1,372",,,,"20,577","31,346","31,346",,
,,21-30,,,,"38,251","38,251","38,251",,,"4,977","4,977","4,977",,,,"15,404",200,200,,
,,31-40,,,"108,740","108,740","108,740","108,740",,,"1,206","1,206","1,206",,,,"54,529","4,740","4,740",,
,,41-50,,,"150,405","150,405","150,405","150,405",,,,100,100,,,,"25,111","10,176","10,176",,
,,51-60,,,"250,491","250,491","250,491","250,491",,,,--,--,,,,"35,805","10,342","10,342",,
,,61-70,,,"291,153","291,153","291,153","291,153",,,,--,--,,,,"36,325","34,339","34,339",,
,,71-80,,,"255,362","255,362","255,362","255,362",,,,--,--,,,,"21,559","17,313","17,313",,
,,81+,,,"383,283","383,283","383,283","383,283",,,,--,--,,,,"12,400","29,915","29,915",,
No,manageable,manageable,stand,,"300,993","300,993","300,993","300,993",,,,--,--,,,,"8,247","36,780","36,780",,
,All,classes,,,,,,,,,,,,,,,,,,,
