Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”,Name: “Table 1 of 1 on page 68 of 74”
Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43.--Annual,43.--Annual,43.--Annual,removals,of,growing,growing,srack,srack,on,"timberland,","timberland,","timberland,",by,,species,and,diameter,diameter,"class, Virginia,","class, Virginia,","class, Virginia,","class, Virginia,","class, Virginia,","class, Virginia,","class, Virginia,",1985,1985,1985,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Diamrrer,Diamrrer,Diamrrer,class,(inches,st,breast,breast,height),height),height),height),height),,,,,,,,,,
,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,classes,classes,,5.0-,5.0-,,7.0-,,9.0-,,,11.0-,13.0-,13.0-,15.0,17.0,17.0,17.0,,19.0-,19.0-,19.0-,,21.0-,21.0-,21.0-,,29.0,29.0,atrd,atrd,
,,,,,,,,6.9,6.9,,8.9,,10.9,,,12.9,14.9,14.9,16.9,18.9,18.9,,,20.9,20.9,,,28.9,28.9,28.9,,larger,larger,larger,larger,
,,,,,-,-,-,-,.,-,-,-,.,-,-,.T ho- u s a-nd -cubi-c,.T ho- u s a-nd -cubi-c,.T ho- u s a-nd -cubi-c,f- e e- ~-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
s~ftvood:,s~ftvood:,s~ftvood:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow,yellow,pines,,,"196,809","196,809",,"21,939","21,939","34,249","34,249","34,249","39,689","39,689","38,045","38,045","25,781","25,781","18,608","8,177","8,177","8,177",,"7,539","7,539","7,539",,"2,782","2,782","2,782",,,,-.,-.,
~ a s r e r nwhite,~ a s r e r nwhite,~ a s r e r nwhite,pine,pine,,"5,242",,369,369,,391,391,,372,,330,"1,340","1,340",736,,40 1,40 1,,,455,455,,,848,848,,,,..,..,
spruce,spruce,and,fir,,,--,,,--,,--,--,,--,,-.,,..,-.,,--,--,,,..,..,,,.-,.-,.-,,,-.,-.,
cypress,cypress,,,,,"1,989",,,--,,108,108,,--,,--,611,611,--,,294,294,,,131,131,,,84 5,84 5,,,,..,..,
orher,orher,eastern,softwoods,softwoods,,"2,296",,695,695,,424,424,,291,,394,114,114,--,,.-,.-,.-,,..,..,,,222,222,,,lib,lib,,
,Total,softwoods,softwoods,softwoods,"206,336","206,336",,"23,003","23,003","35,172","35,172","35,172","40,352","40,352",38.769,38.769,"27,846","27,846","19,344","8,872","8,872","8,872",,"8,125","8,125","8,125",,"4,697","4,697","4,697",,,156,156,,
Bardwood:,Bardwood:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select,select,white,and,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,red,oaks,,,"69,314","69,314",,"4,287","4,287","5,823","5,823","5,823","7,084","7,084","10,229","10,229","11,099","11,099","9,814","5,307","5,307","5,307",,"6,774","6,774","6,774",,"7,618","7,618","7,618",,1.279,1.279,1.279,,
Other,Other,white,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,red,oaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hickory,Hickory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,Yellow,birch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard,m a ~ l r,m a ~ l r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweetgum,sweetgum,sweetgum,,,"24,720","24,720","24,720","2,016","2,016","3,150","3,150","3,150","3,473","3,473","3,718","3,718","3,076","3,076","3,527","2,311","2,311","2,311",,"1,714","1,714","1,714",,"1,442","1,442","1,442",,,293,293,,
"Ash,",walnut.,walnut.,and,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,black,cherry,cherry,,,"4,830",,597,597,,304,304,488,488,,501,"1,220","1,220",414,,426,426,,,426,426,,,454,454,,,..,..,..,
Yellow-poplar,Yellow-poplar,Yellow-poplar,,,"47,169","47,169",,"2,454","2,454","2,968","2,968","2,968","3,115","3,115","5,630","5,630","7,072","7,072","8,526","6,387","6,387","6,387",,"5,239","5,239","5,239",,"5,441","5,441","5,441",,,337,337,,
Tupelo,Tupelo,and,blackgum,blackgum,,"5,768",,449,449,,555,555,,360,"1,006","1,006","1,019","1,019","1,371",,220,220,,,462,462,,,219,219,,,LO7,LO7,,
Bay,and,magnolia,magnolia,magnolia,,-,,,--,,-.,-.,,..,,--,..,..,.-,,..,..,..,,..,..,,,..,..,..,,--,--,,
Other,Other,eastern,hardvoods,hardvoods,"33,394","33,394",,"1,671","1,671","4,291","4,291","4,291",4.766,4.766,3.681,3.681,4.733,4.733,4.557,2.434,2.434,2.434,,2.546,2.546,2.546,,4.227,4.227,4.227,,,688,688,,
,Total,hardwoods,hardwoods,hardwoods,"27-3,511","27-3,511",,"18,262","18,262","25,497","25,497","25,497","29,903","29,903","40,113","40,113","40,428","40,428","37,723","26,433","26,433","26,433",,"24,892","24,892","24,892",,"26,557","26,557","26,557",,3,L,L,P,3
All,species,species,,,"479,847","479,847","479,847","41,265","41,265","60,669","60,669","60,669","70,255","70,255","78,882","78,882","68,274","68,274","57,067","35,305","35,305","35,305",,"33,017","33,017","33,017",,"31,254","31,254","31,254",,"3,359","3,359","3,359",,
