Name: “Table 1 of 1 on page 46 of 78”,Name: “Table 1 of 1 on page 46 of 78”,Name: “Table 1 of 1 on page 46 of 78”,Name: “Table 1 of 1 on page 46 of 78”,Name: “Table 1 of 1 on page 46 of 78”,Name: “Table 1 of 1 on page 46 of 78”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,
Rockbridge,Rockbridge,,,,
Name: Bontex,Name: Bontex,,Employee's:,Plant:,Pulpmill
Address:,1 Bontex Dr.,1 Bontex Dr.,100 - 199,Products: Shoe Insoles,
"Buena Vista , Va","Buena Vista , Va",24416,,,
Phone:540-261-2181,Phone:540-261-2181,Fax:,,Species:,Mixed Species
Contact: James Kosteini,Contact: James Kosteini,Contact: James Kosteini,,,
Name: Burke-Parsons-Bowlby Corp.,Name: Burke-Parsons-Bowlby Corp.,Name: Burke-Parsons-Bowlby Corp.,Employee's:,Plant:,Sawmill
Address:,P. O. Box 86,P. O. Box 86,100 - 199,"Products: Posts, Poles,",
"Goshen, Va",24439,,,,Crossties
Phone:540-997-9251,Phone:540-997-9251,Fax: 540-997-0047,,Species:,"Yellow Pine , Soft Maple,"
Contact: Eugene Humphrey,Contact: Eugene Humphrey,Contact: Eugene Humphrey,,,Red Oak
Name: Clarks Lumber co.,Name: Clarks Lumber co.,Name: Clarks Lumber co.,Employee's:,Plant:,Hardwood Sawmill
Address:,P. O. Box 391,P. O. Box 391,4 - 9,Products: Rough Green Lumber,
"Fairfield , Va",24435,,,,
Phone:540-377-6013,Phone:540-377-6013,Fax:,,Species:,Mixed Hardwoods
Contact: Mrs. James Clark,Contact: Mrs. James Clark,Contact: Mrs. James Clark,,,
Name: Fitzgerald Lumber & Log Co.,Name: Fitzgerald Lumber & Log Co.,Name: Fitzgerald Lumber & Log Co.,Employee's:,Plant:,Hardwood Sawmill
Address:,POB 141,,,Products: Rough Green Lumber,
"Fairfield , Va",24435,,,,
Phone:540-377-2954,Phone:540-377-2954,Fax: 540-377-2246,,Species:,"Red Oak, White Oak,"
Contact: Calvert Fitzgerald,Contact: Calvert Fitzgerald,Contact: Calvert Fitzgerald,,,Yellow Poplar
Name: Fitzgerald Lumber and Log Co.,Name: Fitzgerald Lumber and Log Co.,Name: Fitzgerald Lumber and Log Co.,Employee's:,Plant:,Hardwood Sawmill
Address:,P. O. Box 188,P. O. Box 188,50 - 99,Products: Rough Green Lumber,
"Buena Vista , Va","Buena Vista , Va",24416,,,
Phone:540-261-4763,Phone:540-261-4763,Fax: 540-261-3526,,Species:,"Red Oak, White Oak,"
Contact: Calvert S. Fitzgerald,Contact: Calvert S. Fitzgerald,Contact: Calvert S. Fitzgerald,,,Yellow Poplar
Name: George Shumate Inc.,Name: George Shumate Inc.,Name: George Shumate Inc.,Employee's:,Plant:,Hardwood Sawmill
Address:,537 Fredericksburg Rd.,537 Fredericksburg Rd.,20 - 49,Products: Rough Green Lumber,
"Lexington, Va","Lexington, Va",24450,,,
Phone:540-463-9173,Phone:540-463-9173,Fax: 540-464-4053,,Species:,"Yellow Poplar , Walnut,"
Contact: Patricia Shumate,Contact: Patricia Shumate,Contact: Patricia Shumate,,,White Oak
Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),
Rockbridge -continued,Rockbridge -continued,Rockbridge -continued,,,
Name: Georgia-Pacific Corp.,Name: Georgia-Pacific Corp.,Name: Georgia-Pacific Corp.,Employee's:,Plant: Hardwood Sawmill,
,,,,,37
