Name: “Table 1 of 1 on page 99 of 164”,Name: “Table 1 of 1 on page 99 of 164”,Name: “Table 1 of 1 on page 99 of 164”,Name: “Table 1 of 1 on page 99 of 164”,Name: “Table 1 of 1 on page 99 of 164”,Name: “Table 1 of 1 on page 99 of 164”,Name: “Table 1 of 1 on page 99 of 164”
Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99
,,,,,,
Text Tables,,,,,,
"Table 8—Area of forest land by forest-type group and detailed forest type, Virginia, 2001","Table 8—Area of forest land by forest-type group and detailed forest type, Virginia, 2001","Table 8—Area of forest land by forest-type group and detailed forest type, Virginia, 2001","Table 8—Area of forest land by forest-type group and detailed forest type, Virginia, 2001","Table 8—Area of forest land by forest-type group and detailed forest type, Virginia, 2001","Table 8—Area of forest land by forest-type group and detailed forest type, Virginia, 2001",
(continued),(continued),,,,,
Forest-type group and,Forest-type group and,Forest,Forest,Percentage of,Percentage of,
detailed forest type,detailed forest type,,land,group acres,total acres,
,,thousand,thousand,,,
,,acres,acres,,,
White-red-jack pine,White-red-jack pine,,,,,
Eastern white pine,Eastern white pine,,207.4,65,,
White pine-hemlock,White pine-hemlock,,60.5,19,,
Eastern hemlock,Eastern hemlock,,50.5,16,,
Total,,,318.4,100,,2
Maple-beech-birch,Maple-beech-birch,,,,,
Sugar maple-beech-yellow birch,Sugar maple-beech-yellow birch,,154.5,100,,
Total,Total,,154.5,100,,1
Nonstocked,Nonstocked,,,,,
Nonstocked,Nonstocked,,22.3,100,,
Total,,,22.3,100,,0
Spruce-fir,,,,,,
Red spruce-balsam fir,Red spruce-balsam fir,,6.5,100,,
Total,,,6.5,100,,0
All groups,,"15,844.0","15,844.0",,,100
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,,,
"0 = a value > 0 but 
    ","0 = a value > 0 but 
    ",,,,,
"Table 9—Change in area of timberland by forest-type group,","Table 9—Change in area of timberland by forest-type group,","Table 9—Change in area of timberland by forest-type group,","Table 9—Change in area of timberland by forest-type group,","Table 9—Change in area of timberland by forest-type group,","Table 9—Change in area of timberland by forest-type group,",
"Virginia, 1992 to 2001","Virginia, 1992 to 2001",,,,,
,,,Year,,,
Forest-type group,Forest-type group,1992,,2001,Change,Chang e
,,- - - - - - - thousand acres - - - - - - -,- - - - - - - thousand acres - - - - - - -,- - - - - - - thousand acres - - - - - - -,- - - - - - - thousand acres - - - - - - -,percent
Loblolly-shortleaf,Loblolly-shortleaf,"3,103.8",,"3,122.4",18.6,0.6
Oak-pine,Oak-pine,"1,931.9",,"1,912.3",-19.6,-1.0
Oak-hickory,Oak-hickory,"9,331.9",,"9,274.9",-57.0,-0.6
Bottomland hardwood,Bottomland hardwood,621.9,,659.2,37.2,6.0
Other a,Other a,458.0,,498.3,40.3,8.8
,Total,"15,447.5","15,467.1","15,467.1",19.5,0.1
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,,
a,"Other includes spruce-fir, maple-beech-birch, and white-red-jack pine forest-type","Other includes spruce-fir, maple-beech-birch, and white-red-jack pine forest-type","Other includes spruce-fir, maple-beech-birch, and white-red-jack pine forest-type","Other includes spruce-fir, maple-beech-birch, and white-red-jack pine forest-type","Other includes spruce-fir, maple-beech-birch, and white-red-jack pine forest-type",
groups as well as nonstocked.,groups as well as nonstocked.,,,,,
,,,,,,79
