Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”
Table: 19,Table: 19,Table: 19
,,
P ROJECT M ETHODS,P ROJECT M ETHODS,
•,Street tree inventory data collection,
,Sample Inventory Method,
,,Sample Street Tree Inventories
,N,16
,Sampling Intensity (% of streets sampled),Sampling Intensity (% of streets sampled)
,Minimum,4% - Richmond
,Median,13%
,Maximum,33% - Buchanan
,Goal:,
,≤10% relative standard error,≤10% relative standard error
,for total street tree population,for total street tree population
,estimate,
