Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”,Name: “Table 1 of 1 on page 53 of 74”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,,,,
Table,26--Area,26--Area,of,"timberland,",by,treatment,opportunity,and,ownership,"classes,",,
"Virginia,","Virginia,",1992,,,,,,,,,,
,,,,,,,,Ownership,class,,,
,Treatment,Treatment,Treatment,,,,,,,,,
,,,,Al,1,,,,,,,
,opportunity,opportunity,opportunity,,,,,,Forest,Forest,,
,,,,ownerships,ownerships,,,Forest,,,,Other
,class,class,,,,Public,Public,,industry-,industry-,,
,,,,,,,,industry,,,private,
,,,,,,,,,leased,leased,,
,,,,,,,,Acres,,,,
Salvage,,,,"78,761","78,761",,"14,186","2,297",,--,,"62,278"
Harvest,,,,"1,386,618","1,386,618","337,924","337,924","113,548",,- -,,"935,146"
Commercial,Commercial,thinning,thinning,"718,075","718,075","13,988","13,988","221,563","2,003","2,003",,"480,521"
Other,stand,improvement,improvement,"1,135,254","1,135,254","84,955","84,955","109,817",,- -,,"940,482"
Stand,conversion,conversion,conversion,"62,489","62,489",,--,"12,817",,- -,,"49,672"
Regeneration,Regeneration,,,"1,264,965","1,264,965","101,620","101,620","86,633",,- -,"1,076,712",
Stands,in,relatively,relatively,,,,,,,,,
good,condition,condition,condition,"7,938,499","7,938,499","811,756","811,756","896,589","15,363","15,363","6,214,791",
Adverse,sites,sites,,"2,862,889","2,862,889","618,857","618,857","94,133",,--,"2,149,899",
All,classes,classes,,"15,447,550","15,447,550","1,983,286","1,983,286","1,537,397","17,366","17,366","11,909,501",
aAreas,where,management,management,opportunities,opportunities,are,severely,limited,because,of,,steep
slopes,or,poor,drainage.,,,,,,,,,
,,,,,,,,,,,,47
