Name: “Table 1 of 1 on page 23 of 23”,Name: “Table 1 of 1 on page 23 of 23”,Name: “Table 1 of 1 on page 23 of 23”,Name: “Table 1 of 1 on page 23 of 23”
Table: 23,Table: 23,Table: 23,Table: 23
,,,
Accomplishment,Accomplishment,,
Report,,,
July 2012 - June 2013,,,
Objectives,,Target Goal,Accomplished
"Goal 1: Protect the citizens, their property and the forest resource from wildfire.","Goal 1: Protect the citizens, their property and the forest resource from wildfire.",,
Measure 1.1.1: Percentage of wildfire responses that are 30 minutes or less.,Measure 1.1.1: Percentage of wildfire responses that are 30 minutes or less.,85%,82.6%
Measure 1.1.2: Percentage of eligible rural volunteer fire departments receiving available,Measure 1.1.2: Percentage of eligible rural volunteer fire departments receiving available,25%,24.35%
state and federal financial assistance.,state and federal financial assistance.,,
Measure 1.1.3: Agency preparedness assessment score,Measure 1.1.3: Agency preparedness assessment score,100,100
"Goal 2: Protect, promote and enhance forested watersheds, non-tidal wetlands and riparian areas.","Goal 2: Protect, promote and enhance forested watersheds, non-tidal wetlands and riparian areas.",,
Measure 2.1.1: Cost to conduct a forest harvest water quality inspection.,Measure 2.1.1: Cost to conduct a forest harvest water quality inspection.,$4.60/acre,$4.36/acre
Measure 2.1.2: Percentage of harvest sites with sediment not reaching streams.,Measure 2.1.2: Percentage of harvest sites with sediment not reaching streams.,95%,100%
"Goal 3: Improve the stewardship, health and diversity of the forest resources.","Goal 3: Improve the stewardship, health and diversity of the forest resources.",,
Measure 3.1.1: Percentage of eligible Reforestation of Timberlands incentive received by,Measure 3.1.1: Percentage of eligible Reforestation of Timberlands incentive received by,95%,95%
landowners.,,,
Measure 3.1.2: Number of forestry management projects implemented on private land.,Measure 3.1.2: Number of forestry management projects implemented on private land.,"2,600 projects","3,408 projects"
Measure 3.1.3: Number of acres of all forest management plan types achieved on private,Measure 3.1.3: Number of acres of all forest management plan types achieved on private,"88,000 acres","125,457 acres"
and appropriate public forestland.,and appropriate public forestland.,,
Measure 3.1.4: Number of communities assisted with forest and/or tree resource,Measure 3.1.4: Number of communities assisted with forest and/or tree resource,115,110
management.,,communities,communities
Goal 4: Conserve the forestland base.,Goal 4: Conserve the forestland base.,,
Measure 4.1.1: Number of acres of forestland established and/or protected in Virginia,Measure 4.1.1: Number of acres of forestland established and/or protected in Virginia,"3,500 acres","3,190 acres"
watersheds.,,,
Measure 4.1.2: Number of acres protected from conversion to development.,Measure 4.1.2: Number of acres protected from conversion to development.,"5,500 acres","5,768 acres"
Measure 4.3.1: Percentage of annual allowable harvests actually harvested.,Measure 4.3.1: Percentage of annual allowable harvests actually harvested.,85%,94%
Goal 5: Promote forest industry and diversified markets for forest landowners including ecosystem service markets.,Goal 5: Promote forest industry and diversified markets for forest landowners including ecosystem service markets.,Goal 5: Promote forest industry and diversified markets for forest landowners including ecosystem service markets.,
Measure 5.1.1: Number of new and/or expanding forest-related businesses or markets.,Measure 5.1.1: Number of new and/or expanding forest-related businesses or markets.,3 markets/,4 markets/
,,businesses,businesses
Goal 7: Manage agency resources to effectively and efficiently accomplish the strategic initiatives.,Goal 7: Manage agency resources to effectively and efficiently accomplish the strategic initiatives.,,
Measure 7.1.1: Percentage of customers who rate the quality of VDOF’s seedlings as,Measure 7.1.1: Percentage of customers who rate the quality of VDOF’s seedlings as,95%,96%
satisfactory.,,,
Measure 7.1.2: Percentage annual increase in nursery cash balance.,Measure 7.1.2: Percentage annual increase in nursery cash balance.,9.2%,47.4%
V I RGI NIA,Virginia Department of Forestry,,
,"900 Natural Resources Drive, Suite 800",,
,"Charlottesville, Virginia 22903",,
,Phone: (434) 977-6555,,
,dof.virginia.gov,,
,VDOF P00129; 12/2013,,23
This institution is an equal opportunity provider.,This institution is an equal opportunity provider.,,
